,peakBase,scanNumber,absIntensityUnSub,TIC*IT,ftRes,peakNoiseUnSub,integTime,peakRes,massUnSub,retTime,tic,countsUnSub,sumAbsIntensity,absIntensity15N,peakNoise15N,mass15N,counts15N,absIntensity13C,peakNoise13C,mass13C,counts13C,15N/UnSub,13C/UnSub,15N/13C
1022,-5087.23,1119.0,1760000000.0,501029.0,120000.0,570416.0,0.06,159707.0,156.0265,9.96,8350000000.0,13576.05677260105,1769199315.0,7475820.0,572467.2,157.0236,57.45937583847599,74445368.0,572480.0,157.0298,572.1765287870319,0.004232405388465924,0.04214600294997205,0.10042246220809728
1023,1425.69,1120.0,1550000000.0,446211.0,120000.0,561174.4,0.06,161207.0,156.0265,9.97,7440000000.0,12153.084673855401,1556622170.0,5066217.0,562163.3,157.0236,39.65281049118646,62427528.0,562169.5,157.0299,488.60908178049505,0.0032627774392529714,0.04020453200919651,0.08115446881726252
1024,-2808.09,1121.0,1360000000.0,386562.0,120000.0,558802.8,0.06,159402.0,156.0265,9.97,6440000000.0,10708.607759302566,1365363344.0,3734250.0,558162.4,157.0237,29.43713155884381,53212672.0,558158.5,157.0298,419.4789773872476,0.0027489223828626817,0.03917213019804991,0.0701754632429852
1025,-1447.31,1122.0,1320000000.0,376313.0,120000.0,576613.9,0.06,160107.0,156.0265,9.98,6270000000.0,10072.597972404064,1325755319.0,3702814.0,576220.8,157.0235,28.274546146199516,54763028.0,576218.3,157.0298,418.1702025083202,0.00280707581337639,0.04151562522935818,0.06761492324560583
1026,730.63,1123.0,1200000000.0,349577.0,120000.0,541225.8,0.06,160607.0,156.0265,9.98,5830000000.0,9755.632492020892,1205230695.0,3570091.0,541996.6,157.0235,28.98247036974033,49451580.0,542001.6,157.0299,401.4507558649274,0.00297084483178769,0.0411506641105303,0.07219433503692745
1027,1523.57,1124.0,1230000000.0,366349.0,120000.0,540745.9,0.06,162402.0,156.0265,9.99,6110000000.0,10008.397659603153,1235888061.0,4208543.0,540629.6,157.0235,34.25189667750342,48710332.0,540628.8,157.0298,396.4373721858695,0.0034223157235002944,0.03961047369110919,0.08639926273510973
1028,-1455.88,1125.0,1140000000.0,344800.0,120000.0,535706.8,0.06,163107.0,156.0265,9.99,5750000000.0,9363.330836942896,1144357309.0,2765153.0,537763.8,157.0235,22.624567142674906,48981972.0,537776.7,157.0298,400.76239227173664,0.002416294749877894,0.042801263701004136,0.05645381797036069
1029,59.39,1126.0,1180000000.0,372269.0,120000.0,547418.1,0.06,163407.0,156.0265,9.99,6200000000.0,9484.52380365209,1183271012.0,1749679.0,547174.0,157.0236,14.069724804175639,47776928.0,547172.5,157.0298,384.19051249834376,0.0014834402965764062,0.04050709560667751,0.03662173933625259
1030,-3458.3,1127.0,1220000000.0,411248.0,120000.0,546214.6,0.06,161007.0,156.0264,10.0,6850000000.0,9827.639173321257,1227876641.0,6066002.0,547348.9,157.0235,48.763062828846465,53880092.0,547355.9,157.0298,433.122954918363,0.0049618287738139415,0.044071922796488756,0.11258480363396475
1031,-5765.36,1128.0,1310000000.0,454759.0,120000.0,560447.9,0.06,162407.0,156.0264,10.0,7580000000.0,10284.63127437894,1315809349.0,4794248.0,560611.4,157.0235,37.62800970511838,61643776.0,560612.4,157.0298,483.81486816916646,0.003658663952188274,0.04704250986366866,0.07777357038965925
1032,-1379.16,1129.0,1400000000.0,499222.0,120000.0,589537.8,0.06,158807.0,156.0265,10.01,8320000000.0,10448.863499507579,1406422107.0,4873977.0,589747.7,157.0235,36.36385322062299,59800512.0,589749.0,157.0298,446.15972693467904,0.0034801730563650967,0.04269935452364797,0.08150411394246464
1033,-3782.59,1130.0,1480000000.0,551081.0,120000.0,596456.8,0.06,160207.0,156.0265,10.01,9180000000.0,10917.806620697425,1486276226.0,4657631.0,595373.8,157.0234,34.42136083247197,67418168.0,595366.9,157.0298,498.24728113034166,0.0031527725328288647,0.045636206835335376,0.06908489446120496
1034,-3069.16,1131.0,1440000000.0,560413.0,120000.0,598277.3,0.06,163407.0,156.0265,10.02,9340000000.0,10590.406823056801,1443786528.0,2277232.0,596225.0,157.0235,16.80543553188813,66155036.0,596212.0,157.0298,488.2192213507947,0.0015868545762850526,0.04610013850344946,0.03442190474473988
1035,-3430.55,1132.0,1640000000.0,669296.0,120000.0,640464.9,0.06,160607.0,156.0265,10.02,11200000000.0,11266.815714647282,1647545460.0,5965437.0,640517.6,157.0236,40.97923741673922,75157704.0,640517.9,157.0298,516.2914223006102,0.0036371623051812832,0.04582407624093931,0.0793722995321799
1036,601.85,1133.0,1710000000.0,718685.0,120000.0,644272.9,0.06,161907.0,156.0265,10.02,12000000000.0,11678.281051399183,1717886603.0,6574463.0,643365.2,157.0237,44.96301198759274,72744560.0,643359.6,157.0298,497.50724789060433,0.0038501395701729317,0.0426010682309275,0.09037659688021178
1037,1524.67,1134.0,1850000000.0,788842.0,120000.0,655449.1,0.06,161207.0,156.0265,10.03,13100000000.0,12418.965866304494,1859316663.0,7908599.0,653666.1,157.0236,53.23487878597346,87299184.0,653655.1,157.0298,587.6438653962924,0.004286579040402382,0.047318260773282675,0.09059037611168318
1038,208.61,1135.0,1990000000.0,872759.0,120000.0,675115.3,0.06,161307.0,156.0265,10.03,14500000000.0,12969.636445804148,1999283697.0,7681511.0,674385.4,157.0235,50.1177048020316,90171392.0,674380.8,157.0298,588.3235774209468,0.003864233589850959,0.04536160900726538,0.08518731311387215
